TEAM,PLAYER,ID
Atlanta Hawks,Jacob Toppin,1631210
Atlanta Hawks,Jalen Johnson,1630552
Atlanta Hawks,Keaton Wallace,1630811
Atlanta Hawks,Luke Kennard,1628379
Atlanta Hawks,Dyson Daniels,1630700
Atlanta Hawks,Nickeil Alexander-Walker,1629638
Atlanta Hawks,Kristaps Porziņģis,204001
Atlanta Hawks,Zaccharie Risacher,1642258
Atlanta Hawks,Trae Young,1629027
Atlanta Hawks,N'Faly Dante,1642368
Atlanta Hawks,Asa Newell,1642854
Atlanta Hawks,Onyeka Okongwu,1630168
Atlanta Hawks,Mouhamed Gueye,1631243
Atlanta Hawks,Nikola Đurišić,1642365
Atlanta Hawks,Vít Krejčí,1630249
Atlanta Hawks,Eli John Ndiaye,1642947
Atlanta Hawks,Caleb Houstan,1631216
Boston Celtics,Jayson Tatum,1628369
Boston Celtics,Anfernee Simons,1629014
Boston Celtics,Jaylen Brown,1627759
Boston Celtics,Josh Minott,1631169
Boston Celtics,Derrick White,1628401
Boston Celtics,Payton Pritchard,1630202
Boston Celtics,Ron Harper Jr.,1631199
Boston Celtics,Xavier Tillman,1630214
Boston Celtics,Jordan Walsh,1641775
Boston Celtics,Hugo González,1642864
Boston Celtics,Sam Hauser,1630573
Boston Celtics,Max Shulga,1642917
Boston Celtics,Luka Garza,1630568
Boston Celtics,Baylor Scheierman,1631248
Boston Celtics,Amari Williams,1642873
Boston Celtics,Neemias Queta,1629674
Boston Celtics,Chris Boucher,1628449
Cleveland Cavaliers,Max Strus,1629622
Cleveland Cavaliers,Lonzo Ball,1628366
Cleveland Cavaliers,Thomas Bryant,1628418
Cleveland Cavaliers,Evan Mobley,1630596
Cleveland Cavaliers,Sam Merrill,1630241
Cleveland Cavaliers,Chris Livingston,1641753
Cleveland Cavaliers,Craig Porter Jr.,1641854
Cleveland Cavaliers,Darius Garland,1629636
Cleveland Cavaliers,De'Andre Hunter,1629631
Cleveland Cavaliers,Jaylon Tyson,1642281
Cleveland Cavaliers,Larry Nance Jr.,1626204
Cleveland Cavaliers,Tyrese Proctor,1642878
Cleveland Cavaliers,Jarrett Allen,1628386
Cleveland Cavaliers,Dean Wade,1629731
Cleveland Cavaliers,Luke Travers,1631247
Cleveland Cavaliers,Nae'Qwan Tomlin,1641772
Cleveland Cavaliers,Donovan Mitchell,1628378
New Orleans Pelicans,Jeremiah Fears,1642847
New Orleans Pelicans,Zion Williamson,1629627
New Orleans Pelicans,Herbert Jones,1630529
New Orleans Pelicans,Jordan Poole,1629673
New Orleans Pelicans,Hunter Dickinson,1630621
New Orleans Pelicans,Dejounte Murray,1627749
New Orleans Pelicans,DeAndre Jordan,201599
New Orleans Pelicans,Bryce McGowens,1631121
New Orleans Pelicans,Micah Peavy,1642877
New Orleans Pelicans,Jose Alvarado,1630631
New Orleans Pelicans,Karlo Matković,1631255
New Orleans Pelicans,Yves Missi,1642274
